exp,pipeline_stages_P,zero_stage,dp_degree_N,total_gpus,params_total,params_per_stage,mem_per_gpu_gb,vs_baseline_x
combo,1,0,1,1,29995392,29995392,0.447,1.0
combo,1,1,1,1,29995392,29995392,0.447,1.0
combo,1,1,4,4,29995392,29995392,0.1955,2.29
combo,1,1,8,8,29995392,29995392,0.1536,2.91
combo,1,2,1,1,29995392,29995392,0.447,1.0
combo,1,2,4,4,29995392,29995392,0.1536,2.91
combo,1,2,8,8,29995392,29995392,0.1048,4.27
combo,1,3,1,1,29995392,29995392,0.447,1.0
combo,1,3,4,4,29995392,29995392,0.1117,4.0
combo,1,3,8,8,29995392,29995392,0.0559,8.0
combo,2,0,1,2,29995392,14997696,0.2235,2.0
combo,2,1,1,2,29995392,14997696,0.2235,2.0
combo,2,1,4,8,29995392,14997696,0.0978,4.57
combo,2,1,8,16,29995392,14997696,0.0768,5.82
combo,2,2,1,2,29995392,14997696,0.2235,2.0
combo,2,2,4,8,29995392,14997696,0.0768,5.82
combo,2,2,8,16,29995392,14997696,0.0524,8.53
combo,2,3,1,2,29995392,14997696,0.2235,2.0
combo,2,3,4,8,29995392,14997696,0.0559,8.0
combo,2,3,8,16,29995392,14997696,0.0279,16.0
combo,4,0,1,4,29995392,7498848,0.1117,4.0
combo,4,1,1,4,29995392,7498848,0.1117,4.0
combo,4,1,4,16,29995392,7498848,0.0489,9.14
combo,4,1,8,32,29995392,7498848,0.0384,11.64
combo,4,2,1,4,29995392,7498848,0.1117,4.0
combo,4,2,4,16,29995392,7498848,0.0384,11.64
combo,4,2,8,32,29995392,7498848,0.0262,17.07
combo,4,3,1,4,29995392,7498848,0.1117,4.0
combo,4,3,4,16,29995392,7498848,0.0279,16.0
combo,4,3,8,32,29995392,7498848,0.014,32.0
combo,8,0,1,8,29995392,3749424,0.0559,8.0
combo,8,1,1,8,29995392,3749424,0.0559,8.0
combo,8,1,4,32,29995392,3749424,0.0244,18.29
combo,8,1,8,64,29995392,3749424,0.0192,23.27
combo,8,2,1,8,29995392,3749424,0.0559,8.0
combo,8,2,4,32,29995392,3749424,0.0192,23.27
combo,8,2,8,64,29995392,3749424,0.0131,34.13
combo,8,3,1,8,29995392,3749424,0.0559,8.0
combo,8,3,4,32,29995392,3749424,0.014,32.0
combo,8,3,8,64,29995392,3749424,0.007,64.0
