config,category,stage,num_gpus,micro_batches,mem_per_gpu_gb,throughput_samples_s,bubble_ratio,comm_volume
baseline,zero,0,1,,0.818,386.54,,
zero1,zero,1,1,,2.6836,63.28,,2
zero2,zero,2,1,,2.638,73.33,,2
zero3,zero,3,1,,2.9039,47.57,,3
gpipe,pipeline,,1,8,0.7058,85.57,0.2727,
1f1b,pipeline,,1,8,0.7058,81.18,0.2727,
baseline_theory,zero_theory,0,1,,0.447,,,
zero1_theory,zero_theory,1,1,,0.447,,,2
zero1_theory,zero_theory,1,4,,0.1955,,,2
zero1_theory,zero_theory,1,8,,0.1536,,,2
zero1_theory,zero_theory,1,16,,0.1327,,,2
zero1_theory,zero_theory,1,64,,0.117,,,2
zero2_theory,zero_theory,2,1,,0.447,,,2
zero2_theory,zero_theory,2,4,,0.1536,,,2
zero2_theory,zero_theory,2,8,,0.1048,,,2
zero2_theory,zero_theory,2,16,,0.0803,,,2
zero2_theory,zero_theory,2,64,,0.062,,,2
zero3_theory,zero_theory,3,1,,0.447,,,3
zero3_theory,zero_theory,3,4,,0.1117,,,3
zero3_theory,zero_theory,3,8,,0.0559,,,3
zero3_theory,zero_theory,3,16,,0.0279,,,3
zero3_theory,zero_theory,3,64,,0.007,,,3
