sweep_type,schedule,num_stages,micro_batches,n_layer,n_embd,params,bubble_theory,bubble_measured,bubble_abs_err,mem_per_gpu_gb,throughput_samples_s,step_time_ms
bubble,gpipe,4,1,6,384,29995392,0.75,0.75,0.0,4.0687,2545.48,27.349
bubble,gpipe,4,2,6,384,29995392,0.6,0.6,0.0,2.3291,1310.87,14.006
bubble,gpipe,4,4,6,384,29995392,0.4286,0.4286,0.0,1.3986,321.99,7.075
bubble,gpipe,4,8,6,384,29995392,0.2727,0.2727,0.0,0.9334,184.48,4.46
bubble,gpipe,4,16,6,384,29995392,0.1579,0.1579,0.0,0.7282,127.14,4.343
bubble,gpipe,4,32,6,384,29995392,0.0857,0.0857,0.0,0.7046,83.25,5.032
bubble,1f1b,4,1,6,384,29995392,0.75,0.75,0.0,4.0673,2519.57,26.947
bubble,1f1b,4,2,6,384,29995392,0.6,0.6,0.0,2.3291,1153.02,14.806
bubble,1f1b,4,4,6,384,29995392,0.4286,0.4286,0.0,1.3986,257.33,9.07
bubble,1f1b,4,8,6,384,29995392,0.2727,0.2727,0.0,0.9334,144.89,5.058
bubble,1f1b,4,16,6,384,29995392,0.1579,0.1579,0.0,0.7282,109.82,5.785
bubble,1f1b,4,32,6,384,29995392,0.0857,0.0857,0.0,0.7046,76.78,4.593
scale,,,,2,128,6846080,,,,3.2378,4990.09,
scale,,,,4,256,16058112,,,,3.5554,3427.02,
scale,,,,6,384,29995392,,,,4.0689,2510.62,
scale,,,,8,512,51017216,,,,4.8016,2021.38,
